Obs period, mean, std, median, 5th percentile
50.0, -193.37, 7.0, -195.0, -205.0
150.0, -192.25, 4.1, -195.0, -195.0
250.0, -193.17, 3.8, -195.0, -197.8
350.0, -192.86, 2.9, -195.0, -195.0
450.0, -192.65, 2.5, -195.0, -195.0
550.0, -192.69, 2.5, -195.0, -195.0
650.0, -193.64, 2.2, -195.0, -195.0
750.0, -193.00, 2.4, -195.0, -195.0
850.0, -193.33, 2.4, -195.0, -195.0
950.0, -193.75, 2.2, -195.0, -195.0
1050.0, -194.29, 1.7, -195.0, -195.0
1150.0, -192.50, 2.5, -192.5, -195.0
1250.0, -195.00, 0.0, -195.0, -195.0
1350.0, -195.00, 0.0, -195.0, -195.0
1450.0, -194.00, 2.0, -195.0, -195.0
1550.0, -195.00, 0.0, -195.0, -195.0
1650.0, -193.75, 2.2, -195.0, -195.0
1750.0, -195.00, 0.0, -195.0, -195.0
1850.0, -193.75, 2.2, -195.0, -195.0
